name,poster_path,kinopoisk_id,rate
Криминальный город 4,https://imagetmdb.cub.red/t/p/w500/clVvkqSzMGupFKlht4E4xm0ltup.jpg,5133406,6.9
Артур ты король,https://imagetmdb.cub.red/t/p/w500/aufA1yiiDpQF8YELXRV16T5aSrG.jpg,1402937,8.3
Мой пингвин,https://imagetmdb.cub.red/t/p/w500/n5yjFZLh6sx04B6YKynae1myD2X.jpg,4909661,7.3
Рай под ногами матерей,https://imagetmdb.cub.red/t/p/w500/tqOHDfUnbNc2cnL5JEqdfXjafzF.jpg,5459137,9.32
Как взломать экзамен,https://imagetmdb.cub.red/t/p/w500/uHwCkpmtvzwBmBHOAD9PcRzyqOA.jpg,5095615,7.5
Неожиданные связи,https://imagetmdb.cub.red/t/p/w500/yLsjWhjTKjy8KrkQOLiRCpTQceO.jpg,4992369,7.2
Хитмен. Последнее дело,https://imagetmdb.cub.red/t/p/w500/3TM9MzC1f6F3BwpPJhdv3hXWQRX.jpg,5094888,7.7
Спящие псы,https://imagetmdb.cub.red/t/p/w500/7IIWX53p0h54ZtbhFXLobnAOm8s.jpg,5138505,6.5
Час тишины,https://imagetmdb.cub.red/t/p/w500/uS1GB8zi4yrn8LvsJss0cLQBhuZ.jpg,5212153,6.3
Мой любимый двортерьер,https://imagetmdb.cub.red/t/p/w500/hBG0kI2qpcwMFHl6eCwWqp483sN.jpg,5939901,6.6
Криминальный шеф,https://imagetmdb.cub.red/t/p/w500/ybBNCiTdhIxifRmM4PPxzOilS3E.jpg,4745431,6.5
Игра киллера,https://imagetmdb.cub.red/t/p/w500/7WkwPMOtJrtG4gc9YhGZxmzC0fH.jpg,1282356,6.2
Охота на воров 2: Пантера,https://imagetmdb.cub.red/t/p/w500/5AwHpKJ2tFyx3VglG1NFlEEmGFW.jpg,1115213,6.6
Агент на уикенд,https://imagetmdb.cub.red/t/p/w500/7DKKJsb5UYUO0UlGW5k4ozW7HOg.jpg,5424446,5.9
Полицейский из Беверли-Хиллз: Аксель Фоули,https://imagetmdb.cub.red/t/p/w500/tCdjEr6dnXi1YgFAmAFP3C3Tpdn.jpg,784512,6.4
Мармелад,https://imagetmdb.cub.red/t/p/w500/w2LyXyt7NhoMKLGLeLLryRYBkHt.jpg,5071324,7.2
Пятый битл,https://imagetmdb.cub.red/t/p/w500/n8hAXdeDdIDBAj8EUAm1bjryAde.jpg,1423444,7.1
Ненасытные люди,https://imagetmdb.cub.red/t/p/w500/6E8jTnQIrZRBQZCPI1sPwC46zUa.jpg,4966007,6.5
Операция «Панда»,https://imagetmdb.cub.red/t/p/w500/xlaeAdTMZVZJe7zNDyOI3Enf7rq.jpg,6092619,7.6
Мадам Клико,https://imagetmdb.cub.red/t/p/w500/A65LDhW5ZR1uEWInEWqZzKXFonV.jpg,805343,6.5
Всеядные: путешествие еды,https://imagetmdb.cub.red/t/p/w500/dAq20aE4H96OAC3DGfknxMRUC4M.jpg,5992662,7.5
10 жизней,https://imagetmdb.cub.red/t/p/w500/s936I8PB7oM9SGfpXC4R9dG7ir.jpg,1140005,7.7
Время жить,https://imagetmdb.cub.red/t/p/w500/3PeStsMSHG3sNPpJ9NT1ZGMsi3P.jpg,5295906,7.0
Пушистый вояж,https://imagetmdb.cub.red/t/p/w500/3RgzKMdutPe3IajJdoXN5M10jvg.jpg,5460689,7.5
Я слежу за тобой,https://imagetmdb.cub.red/t/p/w500/9FylR2gXmqqBlLIsg9MS8F5suPK.jpg,1405964,8.38
Элла и чёрный ягуар,https://imagetmdb.cub.red/t/p/w500/4vkpTZ5karXbKTMe9T2HUw8M1Q4.jpg,4815574,6.3
Зачетная принцесса,https://imagetmdb.cub.red/t/p/w500/osQvo1OpRep3LQK5GQkMwOH8DJN.jpg,5498318,6.9
Приключения Паддингтона 3,https://imagetmdb.cub.red/t/p/w500/p6fgibCKaofyaGOMHcsYdXjECir.jpg,988749,7.3
Академия четвероногих,https://imagetmdb.cub.red/t/p/w500/A94UmmZnfVG6G2wJuWldNVP9NJt.jpg,6103590,7.4
Дева Мария: Мать Христа,https://imagetmdb.cub.red/t/p/w500/4nGEGKhJuymcg5v5VQ20FoJcTOA.jpg,5906588,6.3
Последний дракон,https://imagetmdb.cub.red/t/p/w500/xOtJGcuJNc19TjKjQFJPVR7Ospm.jpg,1331441,6.3
